National,Pokemon,HP,Att,Def,SpA,SpD,Spe,PPs,Type 1,Type 2,Altura,Height,Peso,Weight,Min. Level,Evolv,Description,Descripción,Ab 1,Ab 2,H Ab,% Male,Tm moves,Lvl 1 (1-14),Lvl 2 (15-20),Lvl 3 (21 - 23),Lvl 4 (24 - 27),Lvl 5 (28-31),Lvl 6 (32 - 35),Lvl 7 (36 - 39),Lvl 8 (40 - 41),Lvl 9 (42 - 50),Lvl 10 (51 -
504,Patrat,45,55,39,35,39,42,25,Normal,,Pequeño,Small,Ligero,Lightweight,1,,"Extremely cautious, one of them will always be on the lookout, but it won't notice a foe coming from behind.","Aunque es un Pokémon muy precavido y siempre hay uno montando guardia, si se acercan por detrás, no se dará cuenta.",Run Away,Keen Eye,Analytic,50%,"Toxic, Hidden Power, Sunny Day, Protect, Rain Dance, Frustration, Thunderbolt, Return, Dig, Shadow Ball, Double Team, Facade, Rest, Attract, Round, Fling, Retaliate, Swords Dance, Work Up, Grass Knot, Swagger, Substitute, Cut","Tackle, Leer, Bite, Bide, Detect, Sand-Attack","Crunch, Hypnosis","Super Fang, After You",Work Up,"Hyper Fang, Mean Look",Baton Pass,Slam,,,
505,Watchog,60,85,69,60,69,77,25,Normal,,Mediano,Medium,Ligero,Lightweight,4,lvl,"Using luminescent matter, it makes its eyes and body glow and stuns attacking opponents.","Los componentes luminiscentes de su interior hacen que sus ojos y su cuerpo brillen, y así intimida a sus rivales.",Illuminate,Keen Eye,Analytic,50%,"Toxic, Hidden Power, Sunny Day, Hyper Beam, Light Screen, Protect, Rain Dance, Frustration, Thunderbolt, Thunder, Return, Dig, Shadow Ball, Double Team, Flamethrower, Facade, Rest, Attract, Round, Focus Blast, Fling, Retaliate, Giga Impact, Flash, Thunder Wave, Swords Dance, Psych Up, Work Up, Dream Eater, Grass Knot, Swagger, Substitute, Rock Smash, Cut, Strength","Tackle, Leer, Bite, Low Kick, Leer, Bite, Bide, Detect, Sand-Attack","Crunch, Hypnosis, Confuse Ray",Super Fang,After You,Psych Up,Hyper Fang,"Mean Look, Baton Pass",Slam,,
506,Lillipup,45,60,45,25,45,55,25,Normal,,Diminuto,Tiny,Peso pluma,Featherweight,1,,"Though it is a very brave Pokémon, it's also smart enough to check its foe's strength and avoid battle.","Aunque se trata de un Pokémon valeroso, también es lo bastante inteligente como para escapar si el rival es muy fuerte.",Vital Spirit,Pickup,Run Away,50%,"Roar, Toxic, Hidden Power, Sunny Day, Protect, Rain Dance, Frustration, Thunderbolt, Return, Dig, Shadow Ball, Double Team, Rock Tomb, Aerial Ace, Facade, Rest, Attract, Round, Retaliate, Giga Impact, Thunder Wave, Work Up, Swagger, Substitute, Wild Charge, Rock Smash, Snarl","Leer, Tackle, Odor Sleuth, Bite, Helping Hand","Take Down, Work Up",Crunch,Roar,Retaliate,Reversal,Last Resort,Giga Impact,,
507,Herdier,65,80,65,35,65,60,25,Normal,,Pequeño,Small,Ligero,Lightweight,3,lvl,"This very loyal Pokémon helps Trainers, and it also takes care of other Pokémon.","Este Pokémon es muy leal. No solo ayuda a Entrenadores, sino que también se preocupa por otros Pokémon.",Intimidate,Sand Rush,Scrappy,50%,"Roar, Toxic, Hidden Power, Sunny Day, Protect, Rain Dance, Frustration, Thunderbolt, Return, Dig, Shadow Ball, Double Team, Rock Tomb, Aerial Ace, Facade, Rest, Attract, Round, Retaliate, Giga Impact, Thunder Wave, Work Up, Swagger, Substitute, Wild Charge, Rock Smash, Snarl, Surf, Strength","Leer, Tackle, Odor Sleuth, Bite, Helping Hand","Take Down, Work Up",,Crunch,Roar,Retaliate,Reversal,,"Last Resort, Giga Impact",
508,Stoutland,85,100,90,45,90,80,25,Normal,,Mediano,Medium,Intermedio,Middleweight,6,lvl,Being wrapped in its long fur is so comfortable that a person would be fine even overnight on a wintry mountain.,Un humano podría pasar una noche gélida en las montañas sin pasar frío si se tapara con algo de su largo y tupido pelaje.,Intimidate,Sand Rush,Scrappy,50%,"Roar, Toxic, Hidden Power, Sunny Day, Hyper Beam, Protect, Rain Dance, Frustration, Thunderbolt, Thunder, Return, Dig, Shadow Ball, Double Team, Rock Tomb, Aerial Ace, Facade, Rest, Attract, Round, Payback, Retaliate, Giga Impact, Thunder Wave, Work Up, Swagger, Substitute, Wild Charge, Rock Smash, Snarl, Surf, Strength, ","Ice Fang, Fire Fang, Thunder Fang, Leer, Tackle, Odor Sleuth, Bite, Helping Hand","Take Down, Work Up",,Crunch,Roar,,Retaliate,,Reversal,"Last Resort, Giga Impact"
509,Purrloin,41,50,37,50,37,66,25,Dark,,Diminuto,Tiny,Ligero,Lightweight,1,,Their cute act is a ruse. They trick people and steal their valuables just to see the looks on their faces.,Su aspecto tierno es una farsa. Lo aprovechan para robar a los humanos y contemplar qué cara ponen.,Limber,Unburden,Prankster,50%,"Hone Claws, Toxic, Hidden Power, Sunny Day, Taunt, Protect, Rain Dance, Frustration, Return, Shadow Ball, Double Team, Aerial Ace, Torment, Facade, Rest, Attract, Thief, Round, Echoed Voice, Embargo, Shadow Claw, Payback, Thunder Wave, Psych Up, Dream Eater, Grass Knot, Swagger, U-turn, Substitute, Snarl, Cut","Scratch, Growl, Assist, Sand-Attack, Fury Swipes","Pursuit, Torment",Fake Out,Hone Claws,"Assurance, Slash",Captivate,"Night Slash, Snatch",,"Nasty Plot, Sucker Punch",
510,Liepard,64,88,50,88,50,106,25,Dark,,Mediano,Medium,Ligero,Lightweight,4,lvl,Their beautiful form comes from the muscles they have developed. They run silently in the night.,"Su bella y grácil silueta le viene dada por su desarrollada musculatura, que le permite andar de noche sin hacer ruido.",Limber,Unburden,Prankster,50%,"Hone Claws, Toxic, Hidden Power, Sunny Day, Taunt, Hyper Beam, Protect, Rain Dance, Frustration, Return, Shadow Ball, Double Team, Aerial Ace, Torment, Facade, Rest, Attract, Thief, Round, Echoed Voice, Embargo, Shadow Claw, Payback, Giga Impact, Thunder Wave, Psych Up, Dream Eater, Grass Knot, Swagger, U-turn, Substitute, Rock Smash, Snarl, Cut","Scratch, Growl, Assist, Sand-Attack, Fury Swipes","Pursuit, Torment",Fake Out,Hone Claws,Assurance,Slash,Taunt,,"Night Slash, Snatchm Nastly Plot",Sucker Punch
511,Pansage,50,53,48,53,48,64,25,Grass,,Pequeño,Small,Ligero,Lightweight,1,,It's good at finding berries and gathers them from all over. It's kind enough to share them with friends.,Es todo un experto en la búsqueda de bayas y es tan gentil que las comparte con todos sus compañeros.,Gluttony,Gluttony,Overgrow,80%,"Hone Claws, Toxic, Hidden Power, Sunny Day, Taunt, Protect, Frustration, SolarBeam, Return, Dig, Double Team, Rock Tomb, Torment, Facade, Rest, Attract, Thief, Low Sweep, Round, Energy Ball, Fling, Acrobatics, Shadow Claw, Payback, Flash, Work Up, Grass Knot, Swagger, Substitute, Rock Smash, Cut","Scratch, Leer, Lick, Vie Whip, Fury Swipes","Leech Seed, Bite",Seed Bomb,Torment,"Fling, Acrobatics",Grass Knot,Recycle,Natural Gift,Crunch,
512,Simisage,75,98,63,98,63,101,25,Grass,,Mediano,Medium,Ligero,Lightweight,5,stn,It strikes its enemies with a thorn-covered tail. The leaf on its head is bitter.,Agita su cola revestida de espinas para atacar a su enemigo. La hoja que crece sobre su cabeza es muy amarga.,Gluttony,Gluttony,Overgrow,80%,"Hone Claws, Toxic, Hidden Power, Sunny Day, Taunt, Hyper Beam, Protect, Frustration, SolarBeam, Return, Dig, Brick Break, Double Team, Rock Tomb, Torment, Facade, Rest, Attract, Thief, Low Sweep, Round, Focus Blast, Energy Ball, Fling, Acrobatics, Shadow Claw, Payback, Giga Impact, Flash, Rock Slide, Work Up, Grass Knot, Swagger, Substitute, Rock Smash, Cut","Leer, Lick, Fury Swipes, Seed Bomb",,,,,,,,,
513,Pansear,50,53,48,53,48,64,25,Fire,,Pequeño,Small,Ligero,Lightweight,1,,"Very intelligent, it roasts berries before eating them. It likes to help people.",Pokémon muy inteligente que tiene la costumbre de tostar las bayas antes de comérselas. Ayuda mucho a los humanos.,Gluttony,Gluttony,Blaze,80%,"Hone Claws, Toxic, Hidden Power, Sunny Day, Taunt, Protect, Frustration, SolarBeam, Return, Dig, Double Team, Flamethrower, Fire Blast, Rock Tomb, Torment, Facade, Flame Charge, Rest, Attract, Thief, Low Sweep, Round, Overheat, Fling, Incinerate, Will-O-Wisp, Acrobatics, Shadow Claw, Payback, Work Up, Grass Knot, Swagger, Substitute, Rock Smash, Cut","Scratch, Leer, Lick, Incinerate, Fury Swipes","Yawn, Bite",Flame Burst,Amnesia,"Fling, Acrobatics",Fire Blast,Recycle,Natural Gift,Crunch,
514,Simisear,75,98,63,98,63,101,25,Fire,,Pequeño,Small,Ligero,Lightweight,5,stn,"When it gets excited, embers rise from its head and tail and it gets hot. For some reason, it loves sweets..","Cuando se emociona, echa chispas por la cola y por la cabeza, y calienta su cuerpo. Por alguna razón le encantan los dulces.",Gluttony,Gluttony,Blaze,80%,"Hone Claws, Toxic, Hidden Power, Sunny Day, Taunt, Hyper Beam, Protect, Frustration, SolarBeam, Return, Dig, Brick Break, Double Team, Flamethrower, Fire Blast, Rock Tomb, Torment, Facade, Flame Charge, Rest, Attract, Thief, Low Sweep, Round, Overheat, Focus Blast, Fling, Incinerate, Will-O-Wisp, Acrobatics, Shadow Claw, Payback, Giga Impact, Rock Slide, Work Up, Grass Knot, Swagger, Substitute, Rock Smash, Cut","Leer, Lick, Fury Swipes, Flame Burst",,,,,,,,,
515,Panpour,50,53,48,53,48,64,25,Water,,Pequeño,Small,Ligero,Lightweight,1,,The water stored inside the tuft on its head is full of nutrients. It waters plants with it using its tail.,El agua acumulada en su mata de pelo es rica en nutrientes. Usa la cola para regar plantas con esa misma agua.,Gluttony,Gluttony,Torrent,80%,"Hone Claws, Toxic, Hail, Hidden Power, Taunt, Ice Beam, Blizzard, Protect, Rain Dance, Frustration, Return, Dig, Double Team, Rock Tomb, Torment, Facade, Rest, Attract, Thief, Low Sweep, Round, Scald, Fling, Acrobatics, Shadow Claw, Payback, Work Up, Grass Knot, Swagger, Substitute, Rock Smash, Cut, Surf, Waterfall, Dive","Scratch, Leer, Lick, Water Gun, Fury Swipes","Water Sport, Bite",Scald,Taunt,"Fling, Acrobatics",Brine,Recycle,Natural Gift,Crunch,
516,Simipour,75,98,63,98,63,101,25,Water,,Pequeño,Small,Ligero,Lightweight,5,stn,"It prefers places with clean water. When its tuft runs low, it replenishes it by siphoning up water with its tail.","Le encantan los lugares con agua limpia. Cuando desciende el nivel de agua de su pelo, se abastece a través de su cola.",Gluttony,Gluttony,Torrent,80%,"Hone Claws, Toxic, Hail, Hidden Power, Taunt, Ice Beam, Blizzard, Hyper Beam, Protect, Rain Dance, Frustration, Return, Dig, Brick Break, Double Team, Rock Tomb, Torment, Facade, Rest, Attract, Thief, Low Sweep, Round, Focus Blast, Scald, Fling, Acrobatics, Shadow Claw, Payback, Giga Impact, Rock Slide, Work Up, Grass Knot, Swagger, Substitute, Rock Smash, Cut, Surf, Waterfall, Dive","Leer, Lick, Fury Swipes, Scald",,,,,,,,,
517,Munna,76,25,45,67,55,24,25,Psychic,,Pequeño,Small,Ligero,Lightweight,1,,This Pokémon appears before people and Pokémon who are having nightmares and eats those dreams.,"Cuando un humano o un Pokémon sufre una pesadilla, Munna se aparece ante ellos y la engulle.",Forewarn,Synchronize,Telepathy,50%,"Psyshock, Calm Mind, Toxic, Hidden Power, Light Screen, Protect, Rain Dance, Telekinesis, Safeguard, Frustration, Return, Psychic, Shadow Ball, Double Team, Reflect, Rock Tomb, Torment, Facade, Rest, Attract, Round, Energy Ball, Charge Beam, Flash, Thunder Wave, Gyro Ball, Psych Up, Rock Slide, Dream Eater, Swagger, Substitute, Trick Room","Psywave, Defense Curl, Lucky Chant, Yawn, Psybeam, Imprison","Moonlight, Hypnosis",Zen Headbutt,Synchronoise,"Nightmare, Future Sight",Calm Mind,Psychic,Dream Eater,"Telekinesis, Stored Power",
518,Musharna,116,55,85,107,95,29,25,Psychic,,Mediano,Medium,Intermedio,Middleweight,5,stn,The dream mist coming from its forehead changes into many different colors depending on the dream that was eaten.,El color del humo que despide de su abultada frente varía según el contenido de los sueños que haya engullido.,Forewarn,Synchronize,Telepathy,50%,"Psyshock, Calm Mind, Toxic, Hidden Power, Hyper Beam, Light Screen, Protect, Rain Dance, Telekinesis, Safeguard, Frustration, Return, Psychic, Shadow Ball, Double Team, Reflect, Rock Tomb, Torment, Facade, Rest, Attract, Round, Energy Ball, Charge Beam, Giga Impact, Flash, Thunder Wave, Gyro Ball, Psych Up, Rock Slide, Dream Eater, Swagger, Substitute, Trick Room","Defense Curl, Lucky Chant, Psybeam, Hypnosis",,,,,,,,,
519,Pidove,50,55,50,36,30,43,25,Normal,Flying,Diminuto,Tiny,Peso pluma,Featherweight,1,,This very forgetful Pokémon will wait for a new order from its Trainer even though it already has one.,"Es un Pokémon muy despistado. Aunque reciba órdenes de su Entrenador, se le olvidan, y se queda esperando.",Big Pecks,Super Luck,Rivalry,50%,"Toxic, Hidden Power, Sunny Day, Taunt, Protect, Rain Dance, Frustration, Return, Double Team, Aerial Ace, Facade, Rest, Attract, Round, Echoed Voice, Work Up, Swagger, Pluck, U-turn, Substitute, Fly","Gust, Growl, Leer, Quick Attack","Air Cutter, Roost",Detect,Taunt,Air Slash,Razor Wind,"FeatherDance, Swagger",,"Facade, Tailwind, Sky Attack",
520,Tranquill,62,77,62,50,42,65,25,Normal,Flying,Pequeño,Small,Ligero,Lightweight,3,lvl,"No matter where in the world it goes, it knows where its nest is, so it never gets separated from its Trainer.",Puede regresar sin problema alguno a su nido desde cualquier lugar del globo y jamás se separa de quien lo entrena.,Big Pecks,Super Luck,Rivalry,50%,"Toxic, Hidden Power, Sunny Day, Taunt, Protect, Rain Dance, Frustration, Return, Double Team, Aerial Ace, Facade, Rest, Attract, Round, Echoed Voice, Work Up, Swagger, Pluck, U-turn, Substitute, Fly","Gust, Growl, Leer, Quick Attack","Air Cutter, Roost",Detect,Taunt,,Air Slash,Razor Wind,FeatherDance,"Swagger, Facade","Tailwind, Sky Attack"
521,Unfezant,80,105,80,65,55,93,25,Normal,Flying,Mediano,Medium,Ligero,Lightweight,6,lvl,"Males swing the plumage on their heads to threaten others, but females are better at flying.","Los machos agitan el plumaje para intimidar, mientras que las hembras vuelan mejor.",Big Pecks,Super Luck,Rivalry,50%,"Toxic, Hidden Power, Sunny Day, Taunt, Hyper Beam, Protect, Rain Dance, Frustration, Return, Double Team, Aerial Ace, Facade, Rest, Attract, Round, Echoed Voice, Giga Impact, Psych Up, Work Up, Swagger, Pluck, U-turn, Substitute, Fly","Gust, Growl, Leer, Quick Attack","Air Cutter, Roost",Detect,Taunt,,Air Slash,Razor Wind,,"FeatherDance, Swagger","Facade, Tailwind, Sky Attack"
522,Blitzle,45,60,32,50,32,76,25,Electric,,Pequeño,Small,Ligero,Lightweight,1,,Its mane shines when it discharges electricity. They use the frequency and rhythm of these flashes to communicate.,Su crin brilla cuando emite una descarga eléctrica. Se comunica con los suyos mediante el ritmo y el número de brillos.,Lightningrod,Motor Drive,Sap Sipper,50%,"Toxic, Hidden Power, Light Screen, Protect, Rain Dance, Frustration, Thunderbolt, Thunder, Return, Double Team, Facade, Flame Charge, Rest, Attract, Round, Charge Beam, Flash, Volt Switch, Thunder Wave, Swagger, Substitute, Wild Charge","Quick Attack, Tail Whip, Charge, Shock Wave","Thunder Wave, Flame Charge",Pursuit,Spark,Stomp,Discharge,"Agility, Wild Charge",,Thrash,
523,Zebstrika,75,100,63,80,63,116,25,Electric,,Mediano,Medium,Intermedio,Middleweight,5,lvl,"When this ill-tempered Pokémon runs wild, it shoots lightning from its mane in all directions.","Es un Pokémon con mucho temperamento. Cuando se enoja, lanza rayos desde su crin en todas direcciones.",Lightningrod,Motor Drive,Sap Sipper,50%,"Toxic, Hidden Power, Hyper Beam, Light Screen, Protect, Rain Dance, Frustration, Thunderbolt, Thunder, Return, Double Team, Facade, Flame Charge, Rest, Attract, Round, Overheat, Charge Beam, Giga Impact, Flash, Volt Switch, Thunder Wave, Swagger, Substitute, Wild Charge, Rock Smash","Quick Attack, Tail Whip, Charge, Shock Wave","Thunder Wave, Flame Charge",Pursuit,Spark,Stomp,,Discharge,,"Agility, Wild Charge",Thrash
524,Roggenrola,55,75,85,25,25,15,25,Rock,,Diminuto,Tiny,Ligero,Lightweight,2,,The hexagonal-shaped hole is its ear. It has a tendency to walk in the direction the sound is coming from.,"El agujero hexagonal es su oído, y tiene el hábito de caminar en la dirección de donde provienen los sonidos.",Sturdy,Sturdy,Sand Force,50%,"Toxic, Hidden Power, Protect, Frustration, Smack Down, Earthquake, Return, Double Team, Sandstorm, Rock Tomb, Facade, Rest, Attract, Round, Explosion, Rock Polish, Stone Edge, Bulldoze, Rock Slide, Swagger, Substitute, Flash Cannon, Rock Smash, Strength","Tackle, Harden, Sand-Attack, Headbutt, Rock Blast","Mud-Slap, Iron Defense",Smack Down,Rock Slide,Stealth Rock,Sandstorm,Stone Edge,Explosion,,
525,Boldore,70,105,105,50,40,20,25,Rock,,Pequeño,Small,Intermedio,Middleweight,4,lvl,"When it is healthy, its core sticks out. Always facing the same way, it swiftly moves front to back and left to right.","Si se encuentra bien, deja entrever su núcleo. Puede cambiar rápidamente la dirección en la que mira sin girarse.",Sturdy,Sturdy,Sand Force,50%,"Toxic, Hidden Power, Protect, Frustration, Smack Down, Earthquake, Return, Double Team, Sandstorm, Rock Tomb, Facade, Rest, Attract, Round, Explosion, Rock Polish, Stone Edge, Bulldoze, Rock Slide, Swagger, Substitute, Flash Cannon, Rock Smash, Strength","Tackle, Harden, Sand-Attack, Headbutt, Rock Blast","Mud-Slap, Iron Defense",Smack Down,Power Gem,Rock Slide,,Stealth Rock,,"Sandstorm, Stone Edge",Explosion
