Name,Type,Cat,PP,Att,Acc,OG Description
Drill Peck,Flying,Physical,20,3d4,100,A corkscrewing attack with the sharp beak acting as a drill.
Drill Run,Ground,Physical,30,3d4,95,The user crashes into its target while rotating its body like a drill. Critical hits land more easily.
Dual Chop,Dragon,Physical,25,2d4,90,The user attacks its target by hitting it with brutal strikes. The target is hit twice in a row.
Dynamicpunch,Fight,Physical,35,2d10,50,"The user punches the target with full, concentrated power. It confuses the target if it hits."
Earth Power,Ground,Special,30,2d8,100,The user makes the ground under the target erupt with power. It may also lower the target's Sp. Def.
Earthquake,Ground,Physical,30,2d10,100,The user sets off an earthquake that strikes those around it.
Echoed Voice,Normal,Special,25,2d4,100,"The user attacks the target with an echoing voice. If this move is used every turn, it does greater damage."
Egg Bomb,Normal,Physical,30,2d10,75,A large egg is hurled at the target with maximum force to inflict damage.
Electro Ball,Electr,Special,30,--,100,"The user hurls an electric orb at the target. The faster the user is than the target, the greater the damage."
Electroweb,Electr,Special,25,1d10,95,The user captures and attacks opposing Pokémon by using an electric net. It reduces the targets' Speed stat.
Embargo,Dark,Other,25,--,100,It prevents the target from using its held item. Its Trainer is also prevented from using items on it.
Ember,Fire,Special,15,2d4,100,The target is attacked with small flames. It may also leave the target with a burn.
Encore,Normal,Other,35,--,100,The user compels the target to keep using only the move it last used for three turns.
Endeavor,Normal,Physical,35,--,100,An attack move that cuts down the target's HP to equal the user's HP.
Endure,Normal,Other,30,--,--,The user endures any attack with at least 1 HP. Its chance of failing rises if it is used in succession.
Energy Ball,Grass,Special,30,3d4,100,The user draws power from nature and fires it at the target. It may also lower the target's Sp. Def.
Entrainment,Normal,Other,25,--,100,"The user dances with an odd rhythm that compels the target to mimic it, making the target's Ability the same as the user's."
Eruption,Fire,Special,35,3d10,100,"The user attacks the opposing team with explosive fury. The lower the user's HP, the less powerful this attack becomes."
Explosion,Normal,Physical,35,#N/A,100,The user explodes to inflict damage on those around it. The user faints upon using this move.
Extrasensory,Psychc,Special,10,3d4,100,"The user attacks with an odd, unseeable power. It may also make the target flinch."
Extremespeed,Normal,Physical,35,3d4,100,The user charges the target at blinding speed. This attack always goes before any other move.
Facade,Normal,Physical,20,3d4,100,"An attack move that doubles its power if the user is poisoned, burned, or has paralysis."
Faint Attack,Dark,Physical,20,1d12,--,"The user approaches the target disarmingly, then throws a sucker punch. It hits without fail."
Fake Out,Normal,Physical,30,2d4,100,An attack that hits first and makes the target flinch. It only works the first turn the user is in battle.
Fake Tears,Dark,Other,20,--,100,"The user feigns crying to fluster the target, harshly lowering its Sp. Def stat."
False Swipe,Normal,Physical,1,2d4,100,A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.
Featherdance,Flying,Other,25,--,100,The user covers the target's body with a mass of down that harshly lowers its Attack stat.
Feint,Normal,Physical,30,1d6,100,An attack that hits a target using Protect or Detect. It also lifts the effects of those moves.
Fiery Dance,Fire,Special,30,3d4,100,"Cloaked in flames, the user dances and flaps its wings. It may also raise the user's Sp. Atk stat."
Final Gambit,Fight,Special,35,--,100,The user risks everything to attack its target. The user faints but does damage equal to the user's HP.
Fire Blast,Fire,Special,35,2d12,85,The target is attacked with an intense blast of all-consuming fire. It may also leave the target with a burn.
Fire Fang,Fire,Physical,25,2d6,95,The user bites with flame-cloaked fangs. It may also make the target flinch or leave it burned.
Fire Pledge,Fire,Special,30,1d10,100,"A column of fire hits opposing Pokémon. When used with its Grass equivalent, its damage increases into a vast sea of fire."
Fire Punch,Fire,Physical,25,3d4,100,The target is punched with a fiery fist. It may also leave the target with a burn.
Fire Spin,Fire,Special,25,1d6,85,The target becomes trapped within a fierce vortex of fire that rages for four to five turns.
Fissure,Ground,Physical,35,--,30,The user opens up a fissure in the ground and drops the target in. The target instantly faints if it hits.
Flail,Normal,Physical,25,--,100,The user flails about aimlessly to attack. It becomes more powerful the less HP the user has.
Flame Burst,Fire,Special,25,3d4,100,The user attacks the target with a bursting flame. The bursting flame damages Pokémon next to the target as well.
Flame Charge,Fire,Physical,20,1d10,100,"The user cloaks itself with flame and attacks. Building up more power, it raises the user's Speed stat."
Flame Wheel,Fire,Physical,15,1d12,100,The user cloaks itself in fire and charges at the target. It may also leave the target with a burn.
Flamethrower,Fire,Special,25,2d8,100,The target is scorched with an intense blast of fire. It may also leave the target with a burn.
Flare Blitz,Fire,Physical,25,2d12,100,The user cloaks itself in fire and charges at the target. The user sustains serious damage and may leave the target burned.
Flash,Normal,Other,20,--,100,The user flashes a bright light that cuts the target's accuracy. It can also be used to illuminate caves.
Flash Cannon,Steel,Special,30,3d4,100,The user gathers all its light energy and releases it at once. It may also lower the target's Sp. Def stat.
Flatter,Dark,Other,25,--,100,"Flattery is used to confuse the target. However, it also raises the target's Sp. Atk stat."
Fling,Dark,Physical,30,--,100,The user flings its held item at the target to attack. Its power and effects depend on the item.
Fly,Flying,Physical,25,2d8,95,"The user soars, then strikes its target on the second turn. It can also be used for flying to any familiar town."
Focus Blast,Fight,Special,35,2d12,70,The user heightens its mental focus and unleashes its power. It may also lower the target's Sp. Def.
Focus Energy,Normal,Other,10,--,--,The user takes a deep breath and focuses so that critical hits land more easily.
Focus Punch,Fight,Physical,20,3d10,100,The user focuses its mind before launching a punch. It will fail if the user is hit before it is used.
Follow Me,Normal,Other,20,--,--,"The user draws attention to itself, making all targets take aim only at the user."
Force Palm,Fight,Physical,30,1d12,100,The target is attacked with a shock wave. It may also leave the target with paralysis.
Foresight,Normal,Other,1,--,--,Enables a Ghost-type target to be hit by Normal- and Fighting-type attacks. It also enables an evasive target to be hit.
Foul Play,Dark,Physical,25,2d8,100,"The user turns the target's power against it. The higher the target's Attack stat, the greater the damage."
Freeze Shock,Ice,Physical,35,3d8,90,"On the second turn, the user hits the target with electrically charged ice. It may leave the target with paralysis."
Frenzy Plant,Grass,Special,35,3d10,90,The user slams the target with an enormous tree. The user can't move on the next turn.
Frost Breath,Ice,Special,30,2d4,90,The user blows a cold breath on the target. This attack always results in a critical hit.
Frustration,Normal,Physical,20,--,100,A full-power attack that grows more powerful the less the user likes its Trainer.
Fury Attack,Normal,Physical,20,1d2,85,The target is jabbed repeatedly with a horn or beak two to five times in a row.
Fury Cutter,Bug,Physical,20,1d4,95,The target is slashed with scythes or claws. Its power increases if it hits in succession.
Fury Swipes,Normal,Physical,25,1d2,80,The target is raked with sharp claws or scythes for two to five times in quick succession.
Fusion Bolt,Electr,Physical,35,2d10,100,The user throws down a giant thunderbolt. This attack does greater damage when influenced by an enormous flame.
Fusion Flare,Fire,Special,35,2d10,100,The user brings down a giant flame. This attack does greater damage when influenced by an enormous thunderbolt.
Future Sight,Psychc,Special,30,2d10,100,"Two turns after this move is used, a hunk of psychic energy attacks the target."
Gastro Acid,Poison,Other,30,--,100,The user hurls up its stomach acids on the target. The fluid eliminates the effect of the target's Ability.
Gear Grind,Steel,Physical,25,1d10,85,The user attacks by throwing two steel gears at its target.
Giga Drain,Grass,Special,30,3d4,100,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
Giga Impact,Normal,Physical,35,3d10,90,The user charges at the target using every bit of its power. The user must rest on the next turn.
Glaciate,Ice,Special,30,2d6,95,The user attacks by blowing freezing cold air at opposing Pokémon. This attack reduces the targets' Speed stat.
Glare,Normal,Other,10,--,90,The user intimidates the target with the pattern on its belly to cause paralysis.
Grass Knot,Grass,Special,20,--,100,"The user snares the target with grass and trips it. The heavier the target, the greater the damage."
Grass Pledge,Grass,Special,30,1d10,100,"A column of grass hits opposing Pokémon. When used with its water equivalent, its damage increases into a vast swamp."
Grasswhistle,Grass,Other,25,--,55,The user plays a pleasant melody that lulls the target into a deep sleep.
Gravity,Psychc,Other,35,--,--,"Gravity is intensified for five turns, making moves involving flying unusable and negating Levitate."
Growl,Normal,Other,1,--,100,"The user growls in an endearing way, making the opposing team less wary. The foes' Attack stats are lowered."
Growth,Normal,Other,1,--,--,"The user's body grows all at once, raising the Attack and Sp. Atk stats."
Grudge,Ghost,Other,35,--,--,"If the user faints, the user's grudge fully depletes the PP of the opponent's move that knocked it out."
Guard Split,Psychc,Other,30,--,--,The user employs its psychic power to average its Defense and Sp. Def stats with those of its target's.
Guard Swap,Psychc,Other,30,--,--,The user employs its psychic power to switch changes to its Defense and Sp. Def with the target.
Guillotine,Normal,Physical,35,--,30,"A vicious, tearing attack with big pincers. The target will faint instantly if this attack hits."
Gunk Shot,Poison,Physical,35,2d12,70,The user shoots filthy garbage at the target to attack. It may also poison the target.
Gust,Flying,Special,5,2d4,100,A gust of wind is whipped up by wings and launched at the target to inflict damage.
Gyro Ball,Steel,Physical,35,--,100,"The user tackles the target with a high-speed spin. The slower the user, the greater the damage."
Hail,Ice,Other,30,--,--,The user summons a hailstorm lasting five turns. It damages all Pokémon except the Ice type.
Hammer Arm,Fight,Physical,30,2d10,90,"The user swings and hits with its strong and heavy fist. It lowers the user's Speed, however."
Harden,Normal,Other,10,--,--,The user stiffens all the muscles in its body to raise its Defense stat.
Haze,Ice,Other,10,--,--,The user creates a haze that eliminates every stat change among all the Pokémon engaged in battle.
Head Charge,Normal,Physical,25,2d12,100,"The user charges its head into its target, using its powerful guard hair. It also damages the user a little."
Head Smash,Rock,Physical,35,3d10,80,"The user attacks the target with a hazardous, full-power headbutt. The user also takes terrible damage."
Headbutt,Normal,Physical,25,3d4,100,The user sticks out its head and attacks by charging straight into the target. It may also make the target flinch.
Heal Bell,Normal,Other,35,--,--,The user makes a soothing bell chime to heal the status problems of all the party Pokémon.
Heal Block,Psychc,Other,25,--,100,"For five turns, the user prevents the opposing team from using any moves, Abilities, or held items that recover HP."
Heal Order,Bug,Other,30,--,--,The user calls out its underlings to heal it. The user regains up to half of its max HP.
Heal Pulse,Psychc,Other,30,--,--,The user emits a healing pulse which restores the target's HP by up to half of its max HP.
Healing Wish,Psychc,Other,30,--,--,"The user faints. In return, the Pokémon taking its place will have its HP restored and status cured."
Heart Stamp,Psychc,Physical,15,1d12,100,The user unleashes a vicious blow after its cute act makes the target less wary. It may also make the target flinch.
Heart Swap,Psychc,Other,30,--,--,The user employs its psychic power to switch stat changes with the target.
Heat Crash,Fire,Physical,30,--,100,"The user slams its target with its flame- covered body. The more the user outweighs the target, the greater the damage."
Heat Wave,Fire,Special,30,2d10,90,The user attacks by exhaling hot breath on the opposing team. It may also leave targets with a burn.
Heavy Slam,Steel,Physical,30,--,100,"The user slams into the target with its heavy body. The more the user outweighs the target, the greater its damage."
Helping Hand,Normal,Other,20,--,--,The user assists an ally by boosting the power of its attack.
Hex,Ghost,Special,30,1d10,100,This relentless attack does massive damage to a target affected by status problems.
Hi Jump Kick,Fight,Physical,30,3d8,90,"The target is attacked with a knee kick from a jump. If it misses, the user is hurt instead."
Hidden Power,Normal,Special,25,--,100,A unique attack that varies in type and intensity depending on the Pokémon using it.
Hone Claws,Dark,Other,25,--,--,The user sharpens its claws to boost its Attack stat and accuracy.
Horn Attack,Normal,Physical,15,2d6,100,The target is jabbed with a sharply pointed horn to inflict damage.
Horn Drill,Normal,Physical,35,--,30,"The user stabs the target with a horn that rotates like a drill. If it hits, the target faints instantly."
Horn Leech,Grass,Physical,30,3d4,100,The user drains the target's energy with its horns. The user's HP is restored by half the damage taken by the target.
Howl,Normal,Other,1,--,--,"The user howls loudly to raise its spirit, boosting its Attack stat."
Hurricane,Flying,Special,30,2d12,70,The user attacks by wrapping its opponent in a fierce wind that flies up into the sky. It may also confuse the target.
Hydro Cannon,Water,Special,35,3d10,90,"The target is hit with a watery blast. The user must rest on the next turn, however."
Hydro Pump,Water,Special,35,2d12,80,The target is blasted by a huge volume of water launched under great pressure.
Hyper Beam,Normal,Special,35,3d10,90,The target is attacked with a powerful beam. The user must rest on the next turn to regain its energy.
Hyper Fang,Normal,Physical,25,3d4,90,The user bites hard on the target with its sharp front fangs. It may also make the target flinch.
Hyper Voice,Normal,Special,30,2d8,100,The user lets loose a horribly echoing shout with the power to inflict damage.
Hypnosis,Psychc,Other,20,--,60,The user employs hypnotic suggestion to make the target fall into a deep sleep.
Ice Ball,Ice,Physical,20,1d6,90,The user continually rolls into the target over five turns. It becomes stronger each time it hits.
Ice Beam,Ice,Special,30,2d8,100,The target is struck with an icy-cold beam of energy. It may also freeze the target solid.
Ice Burn,Ice,Special,35,3d8,90,"On the second turn, an ultracold, freezing wind surrounds the target. This may leave the target with a burn."
Ice Fang,Ice,Physical,25,2d6,95,The user bites with cold-infused fangs. It may also make the target flinch or leave it frozen.
Ice Punch,Ice,Physical,25,3d4,100,The target is punched with an icy fist. It may also leave the target frozen.
Ice Shard,Ice,Physical,10,2d4,100,The user flash freezes chunks of ice and hurls them at the target. This move always goes first.
Icicle Crash,Ice,Physical,30,2d8,90,The user attacks by harshly dropping an icicle onto the target. It may also make the target flinch.
Icicle Spear,Ice,Physical,10,1d4,100,The user launches sharp icicles at the target. It strikes two to five times in a row.
Icy Wind,Ice,Special,25,1d10,95,The user attacks with a gust of chilled air. It also reduces the targets' Speed stat.
Imprison,Psychc,Other,30,--,--,"If the opponents know any move also known by the user, the opponents are prevented from using it."
Incinerate,Fire,Special,25,1d6,100,"The user attacks the target with fire. If the target is holding a Berry, the Berry becomes burnt up and unusable."
Inferno,Fire,Special,35,2d10,50,The user attacks by engulfing the target in an intense fire. It leaves the target with a burn.
Ingrain,Grass,Other,20,--,--,"The user lays roots that restore its HP on every turn. Because it is rooted, it can't switch out."
Iron Defense,Steel,Other,25,--,--,"The user hardens its body's surface like iron, sharply raising its Defense stat."
Iron Head,Steel,Physical,25,3d4,100,The user slams the target with its steel-hard head. It may also make the target flinch.
Iron Tail,Steel,Physical,25,2d10,75,The target is slammed with a steel-hard tail. It may also lower the target's Defense stat.
Judgment,Normal,Special,30,2d10,100,The user releases countless shots of light at the target. Its type varies with the kind of Plate the user is holding.
Jump Kick,Fight,Physical,30,2d10,95,"The user jumps up high, then strikes with a kick. If the kick misses, the user hurts itself."
Karate Chop,Fight,Physical,15,1d10,100,The target is attacked with a sharp chop. Critical hits land more easily.
Kinesis,Psychc,Other,25,--,80,The user distracts the target by bending a spoon. It lowers the target's accuracy.
Knock Off,Dark,Physical,20,1d4,100,"The user slaps down the target's held item, preventing that item from being used in the battle."
Last Resort,Normal,Physical,35,3d8,100,This move can be used only after the user has used all the other moves it knows in the battle.
Lava Plume,Fire,Special,25,3d4,100,An inferno of scarlet flames torches everything around the user. It may leave targets with a burn.
Leaf Blade,Grass,Physical,25,2d8,100,The user handles a sharp leaf like a sword and attacks by cutting its target. Critical hits land more easily.
Leaf Storm,Grass,Special,35,3d8,90,The user whips up a storm of leaves around the target. The attack's recoil harshly reduces the user's Sp. Atk stat.
Leaf Tornado,Grass,Special,30,2d6,90,The user attacks its target by encircling it in sharp leaves. This attack may also lower the target's accuracy.
Leech Life,Bug,Physical,25,1d4,100,The user drains the target's blood. The user's HP is restored by half the damage taken by the target.
Leech Seed,Grass,Other,30,--,90,A seed is planted on the target. It steals some HP from the target every turn.
Leer,Normal,Other,10,--,100,The opposing team gains an intimidating leer with sharp eyes. The opposing team's Defense stats are reduced.
Lick,Ghost,Physical,10,1d4,100,"The target is licked with a long tongue, causing damage. It may also leave the target with paralysis."
