Ability,Habilidad,Effect,Efecto
Damp,Humedad,"The Pokémon dampens its surroundings, preventing all Pokémon from using explosive moves such as Self-Destruct.","Aumanta la humedad del entorno y evita que se puedan utilizar movimientos explosivos, tales como autodestrucción."
Defeatist,Flaqueza,Halves the Pokémon's Attack and Sp. Atk stats when its HP drops to half or less.,"Cuando sus PS se ven reducidos a la mitad, se cansa tanto que su ataque y su ataque especial también se ven reducidos a la mitad."
Defiant,Competitivo,"If the Pokémon has any stat lowered by an opposing Pokémon, its Attack stat will be boosted by 50.",Aumenta su ataque en 50 cuando el rival le reduce cualquiera de sus características.
Download,Descarga,The Pokémon compares one opposing Pokémon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat — whichever will be more effective.,Compara la defensa y la defensa especial de un rival para ver cuál es inferior y aumenta su propio ataque o ataque especial según sea lo más eficaz.
Effect Spore,Efecto espora,"If there is contact with the Pokémon, throw 1d10 and if the result is 1, throw 1d6, on 1 or 2 inflict poison, on 3 or 4 sleep, on 5 or 6 paralysis on the attacker.","Al recibir un movimiento de contacto lanza 1d10, si el resultado es 1, lanza 1d6. En 1 o 2 envenena, en 3 o 4 duerme, en 5 o 6 paraliza al pokémon atacante."
Flame Body,Cuerpo llama,"If there is contact with the Pokémon throw 1d10 and if the result is 3 or less, burn the attacker.","Al recibir un movimiento de contacto lanza 1d10, si el resultado es menor o igual a 3, quema al atacante."
Flash Fire,Absorbe fuego,"If hit by a Fire-type move, the Pokémon absorbs the flames and uses them to power up its next Fire-type moves by half the absorbed damage.","Si lo alcanza un movimiento de tipo fuego, potencia su siguiente movimientos de dicho tipo por la mitad del daño absorbido."
Forewarn,Alerta,"When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has.",Revela uno de los movimientos del rival al entrar en combate.
Frisk,Cacheo,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",Revela el objeto que lleva el rival al entrar en combate.
Gluttony,Gula,"If the Pokémon is holding a Berry to be eaten when its HP is low, it will instead eat the Berry when its HP drops to half or less.","Cuando sus PS se ven reducidos a la mitad, engulle la baya que normalmente solo se comería cuando le quedasen pocos PS."
Guts,Agallas,It's so gutsy that having a status condition boosts the Pokémon's Attack stat by 50.,"Si sufre de un problema de estado, se arma de valor y aumenta su ataque en 50."
Healer,Alma cura,"At the end of your turn, if an ally suffers any status condition, throw 1d10 and if it results in a 3 or lower, heals one status condition.","Al finalizar el turno, si un aliado sufre un problema de estado, lanza 1d10, si el resultado es menor o igual a 3, cura un problema de estaod."
Hustle,Entusiasmo,"Boosts the Pokémon's Attack by half the total stat but every attempt to make a physicial attack, half the result of the 1d100.","Aumenta su ataque la mitad del total, pero cada vez que quiere realizar un ataque físico, reduce la tirada de 1d100 de ataque a la mitad."
Hydration,Hidratación,Cures the Pokémon's status conditions in rain.,Cura los problemas de estado si está lloviendo.
Ice Body,Gélido,The Pokémon gradually regains a tenth of its HP in snow.,Recupera una décima de HP cuando nieva.
Illuminate,Iluminación,"By illuminating its surroundings, the Pokémon prevents its accuracy from being lowered.","Al iluminar su entorno, evita que su presición se reduzca."
Illusion,Ilusión,The Pokémon fools opponents by entering battle disguised as one of the Pokémon in its Trainer's party.,Adopta el aspecto del un pokemon del equipo al entrar en combate para desconcertar al rival.
Infiltrator,Allanamiento,"The Pokémon's moves are unaffected by the target's barriers, substitutes, and the like.",Ataca ignorando las barreras o el sustituo del objetivo.
Inner Focus,Fuerza mental,The Pokémon's intense focus prevents it from flinching or being affected by Intimidate.,"Gracias a su profunda concentración, no retrocede ante los ataques de otros pokemon ni sufre los efectos de intimidación."
Intimidate,Intimidación,"When the Pokémon enters a battle, it intimidates opposing Pokémon and makes them cower, lowering their Attack stats by 50.","Al entrar en combate, amilana al rival de tal manera que reduce su ataque en 50 puntos."
Iron Barbs,Punta acero,The Pokémon's iron barbs damage the attacker in 1d12 if it makes direct contact.,Inflinge un total de 1d6 de daño con sus púas de acero al pokemon que lo ataque con un movimiento de contacto.
Iron Fist,Puño férreo,Doubles the damage of punching moves.,Duplica la potencia de los movimientos con los puños.
Justified,Justiciero,"When the Pokémon is hit by a Dark-type attack, its Attack stat is boosted in 25 by its sense of justice.","Si le alcanza un movimiento de tipo siniestro, aumenta el ataque en 25 debido a si integridad."
Keen Eye,Vista lince,The Pokémon's keen eyes prevent its accuracy from being lowered. It also ignores the target's stages in evasion.,Su aguda vista evita que su precisión se reduzca.
Klutz,Zoquete,The Pokémon can't use any held items.,No puede usar objetos equipados.
Leaf Guard,Defensa hoja,Prevents status conditions in harsh sunlight. Does not heal previous status conditions.,Evita problemas de estado si hace sol. No cura problemas de estado previos.
Levitate,Levitación,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",Su capacidad de flotar sobre el suelo le proporciona inmunidad frente a los movimientos de tipo tierra.
Lightning rod,Pararrayos,"The Pokémon draws in all Electric-type moves while in attacker's tange. Instead of taking damage from them, its Sp. Atk stat is boosted by 25.","Atrae y neutraliza los movimientos de tipo eléctrico mientras se esté en el rango del atacante, que además le aumentan el ataque especial en 25."
Limber,Flexibilidad,The Pokémon's limber body prevents it from being paralyzed.,Evita ser paralizado gracias a la flexibilidad de su cuerpo.
Magic Guard,Muro mágico,The Pokémon only takes damage from attacks.,Solo recibe daño de ataques.
Minus,Menos,Boosts the Sp. Atk stat by 50 of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,Aumenta su Ataque Especial en 50 si un pokemon aliado tiene la habilidad más o la habilidad menos.
Mold Breaker,Rompemoldes,The Pokémon's moves are unimpeded by the Ability of the target.,Sus movimientos no se ven afectados por la habilidad del objetivo.
Motor Drive,Electromotor,"The Pokémon takes no damage when hit by Electric-type moves. Instead, its Speed stat is boosted by 25.","Si le alcanza un movimiento de tipo eléctrico, aumenta su velocidad por 25 en vez de sufir daño."
Moxie,Autoestima,"When the Pokémon knocks out a target, it shows moxie, which boosts its Attack stat by 50.","Al debilitar a un objetivo, su confianza se refuerza de tal manera que aumenta su ataque en 50."
Mummy,Momia,Contact with the Pokémon changes the attacker's Ability to Mummy.,Contagia la habilidad momia al pokemon que lo ataque con un movimiento de contacto.
No Guard,Indefenso,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.,"Al quedar ambos expuestos, tanto sus movimientos como los del pokemon que lo ataque acertarán siempre."
Overcoat,Funda,The Pokémon takes no damage from sandstorms. It is also protected from the effects of powders and spores.,No recibe daño de las tormentas de arena y del granizo.
Overgrow,Espesura,Doubles the amount of dice for Grass-type moves when the Pokémon's HP below 20%.,Duplica los dados utilizados en movimientos de tipo planta cuando el HP está por debajo del 20%.
Own Tempo,Ritmo propio,"The Pokémon sticks to its own tempo, preventing it from becoming confused or being affected by Intimidate.","Como le gusta hacer las cosas a su manera, no le afecta la confusión ni sufre de efectos de intimidación."
Pickup,Recogida,"The Pokémon may pick up an item another Pokémon used during a battle. It may pick up items outside of battle, too.","Puede recoger objetos que otros pokemon hayan usado, o bien aquellos que encuentre en plena aventura."
Plus,Más,Boosts the Sp. Atk stat of the Pokémon by 50 if an ally with the Plus or Minus Ability is also in battle.,Aumenta su Ataque Especial por 50 si un pokemon aliado tiene la habilidad más o la habilidad menos.
Poison Point,Punto tóxico,"If there is contact with the pokémon throw 1d10 and if the result is 3 or less, poison the attacker.","Al recibir un movimiento de contacto 1d10, si el resutlado es menor o igual a 3, envenena al atacante."
Poison Touch,Toque tóxico,"If there is contact with the pokémon throw 1d10 and if the result is 3 or less, poison the attacker.","Al recibir un movimiento de contacto 1d10, si el resutlado es menor o igual a 3, envenena al atacante."
Prankster,Bromista,"User may use status moves before opponent's turn, counting as an action on user's next turn.","Sus movimientos de estado pueden ser realizados antes de que un oponente utilice su movimiento, contando como un movimiento utilizado en el turno siguiente del usuario."
Pressure,Presión,"Puts other Pokémon under pressure, causing them to expend more PP to use their moves.",Presiona al rival de tal manera que este consume el doble de PPs al usar sus movimientos.
Duplica el bono de daño por estadística a los movimientos que también dañan al usuario.,Piés rápidos,Boosts the Speed stat by 50 if the Pokémon has a status condition.,Aumenta su velocidad en 50 si sufre de efectos de estado.
Rattled,Cobardía,"The Pokémon gets scared when hit by a Dark-, Ghost-, or Bug-type attack or if intimidated, which boosts its Speed stat by 50.","Si lo alcanza un ataque de tipo siniestro, bicho o fantasma, o si sufre los efectos de intimidación, el miedo hace que aumente su velocidad en 50."
Reckless,Audaz,Doubles the stat bonus for moves that have recoil damage.,Duplica el bono por estadística en los movimientos que también dañan al usuario.
Regenerator,Regeneración,"The Pokémon restores xd4 HP when withdrawn from battle, being x the level of the user.","Recupera xd4 HP cuando se retira del combate, siendo x el nivel del usuario."
Rivalry,Rivalidad,"The Pokémon's competitive spirit makes it double the stat damage bonus to Pokémon of the same gender, but nullifies stat damage bonus to Pokémon of the opposite gender.","Si el objetivo es del mismo sexo, su competitividad le lleva a duplicar el bono de daño por estadística. Si es del sexo contrario, en cambio, no realiza bono de daño por estadística."
Rough Skin,Piel tosca,The Pokémon's rough skin damages in 1d12 to attackers that make direct contact with it.,Hiere con su piel áspera al pokemon que lo ataque con un movimiento de contacto por 1d12.
Run Away,Fuga,Enables a sure getaway from wild Pokémon.,Puede escapar de cualquier pokemon salvaje.
Sand Force,Poder arena,"Doubles the stat damage bonus of Rock-, Ground-, and Steel-type moves in a sandstorm.","Duplica el bono de daño por estadística los movimientos de tipo tierra, acero y roca durante las tormentas de arena."
Sand Rush,Ímpetu arena,Boosts the Pokémon's Speed stat by 50 in a sandstorm.,Aumenta su velocidad en 50 durante las tormentas de arena.
Sand Veil,Velo arena,Boosts the Pokémon's evasiveness by 25 in a sandstorm.,Aumenta la evación en 25 durante las tormentas de arena.
Sap Sipper,Hervíboro,"The Pokémon takes no damage when hit by Grass-type moves. Instead, its Attack stat is boosted by 25.","Si lo alcanza un ataque de tipo planta, aumenta su ataque en 25 en vez de sufrir daño."
Scrappy,Intrépido,The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves. It is also unaffected by Intimidate.,"Alcanza a pokemon de tipo fantasma con movimientos de tipo normal o lucha. Además, no sufre los efectos de intimidación."
Serene Grace,Dicha,Raises the likelihood of additional effects occurring when the Pokémon uses its moves by 1.,La probabilidad de que los movimientos cuasen efectos secundarios aumenta en 1.
Shadow Tag,Sombra trampa,The Pokémon steps on the opposing Pokémon's shadows to prevent them from fleeing or switching out.,Pisa la sombra del rival para impedir que huya o lo cambien por otro.
Shed Skin,Mudar,"At the end of its turn, throw 1d10 and if the result is 3 or less, cure own status conditions by shedding its skin.","Al finalizar el turno, lanza 1d10 y si el resultado es menor o igual a 3 cura sus problemas de estado al mudar la piel."
Sheer Force,Potencia bruta,"Removes any additional effects from the Pokémon's moves, but doubles the moves' stat damage bonus.","Duplica el bono de daño por estadística la potencia de sus movimientos en detrimento de los efectos secundarios, que se ven anulados."
Shell Armor,Caparazón,A hard shell protects the Pokémon from critical hits.,La robusta coraza que lo protege bloquea los golpes críticos.
Simple,Simple,Doubles the effects of the Pokémon's stat changes.,Duplica los cambios de características.
Skill Link,Encadenado,Maximizes the number of times multistrike moves hit.,Ejecuta siempre los movimientos de ataque múltiple con el número máximo de golpes.
Snow Cloak,Manto níveo,Boosts the Pokémon's evasiveness in snow by 50.,Aumenta su evación en 50 cuando nieva.
Solid Rock,Roca sólida,Reduces the power of supereffective attacks that hit the Pokémon.,Mitiga el daño que le inflingen los movimientos supereficaces.
Soundproof,Insonorizar,Soundproofing gives the Pokémon full immunity to all sound-based moves.,Su aislamiento acústico lo protege de movimientos que usan sonido.
Static,Electricidad estática,"The Pokémon is charged with static electricity and may paralyze attackers that make direct contact with it. Throw 1d10 and if the result is 3 or lower, paralyzes the attacker.","La electricidad estática que lo envuelve puede paralizar al pokemon que lo ataque con movimientos de contacto. Lanza 1d10 y si el resultado es 3 o menor, paraliza al atacante."
Stench,Hedor,"By releasing a stench when attacking, the Pokémon may cause the target to flinch. Throw 1d10 and if the result is 1, the attacker flinches in its next turn.","Puede hacer retroceder a un pokemon al atacarlo debido al mal olor que emana. Lanza 1d10 y si el resultado es 1, el atacante retrocede en su próximo turno."
Sticky Hold,Viscocidad,The Pokémon's held items cling to its sticky body and cannot be removed by other Pokémon.,"Los objetos se quedan pegados a su cuerpo, por lo que no pueden robárselos."
Storm Drain,Colector,"The Pokémon draws in all Water-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted by 25.","Atrae y neutraliza los movimientos de tipo agua, además le aumentan el ataque especial en 25."
Sturdy,Robustez,The Pokémon cannot be knocked out by a single hit as long as its HP is full. One-hit KO moves will also fail to knock it out.,El pokemon no puede debilitarse de un solo golpe cuando tiene los PS al máximo. También resiste los movimientos fulminantes.
Super Luck,Afortunado,"The Pokémon is so lucky that the critical-hit ratios of its moves are boosted. Reducing in -25 to the minimal difference against target's defense, and in -5 to the 1d100 result.","Su buena suerte aumenta la probabilidad de asestar golpes críticos, reduciendo la necesidad de realizar el crítico en -25 a la diferencia con la defensa del objetivo y en -5 a la tirada de el 1d100. "
Swarm,Enjambre,Doubles the amount of dice for Bug-type moves when the Pokémon's HP below 20%.,Duplica los dados utilizados en movimientos de tipo bicho cuando el HP está por debajo del 20%.
Swift Swim,Nado rápido,Boosts the Pokémon's Speed stat by 50 in rain or in aquatic terrains.,Aumenta su velocidad en 50 cuando llueve o en entornos acuáticos.
Synchronize,Sincronía,"If the Pokémon is burned, paralyzed, or poisoned by another Pokémon, that Pokémon will be inflicted with the same status condition.","Contagia el envenenamiento, las quemaduras o la parálisis al pokemon que le cause ese estado."
Technician,Experto,Doubles the damage of moves that use d4s so the Pokémon can deal more damage with them.,Duplica la potencia de sus movimientos que utilicen d4s.
Telepathy,Telepatía,The Pokémon anticipates and dodges the attacks of its allies.,Elude los ataques de los aliados durante el combate.
Teravolt,Terravoltaje,The Pokémon's moves are unimpeded by the Ability of the target.,Sus movimientos no se ven afectados por la habilidad del objetivo.
Thick Fat,Sebo,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.","Gracias a la gruesa capa de grasa que lo protege, reduce a la mitad el daño que recibe de ataques de tipo fuego o hielo."
Tinted Lens,Cromolente,"The Pokémon can use ""not very effective"" moves to deal regular damage.","Potencia los movimientos que no son muy eficaces, que infligen ahora un daño normal."
Torrent,Torrente,Doubles the amount of dice of Water-type moves when the Pokémon's HP below 20%.,Duplica los dados utilizados en movimientos de tipo agua cuando el HP está por debajo del 20%.
Truant,Pereza,"Each time the Pokémon uses a move, it spends the next turn loafing around.","Al ejecutar un movimiento, descansará en el turno siguiente."
Turboblaze,Turbollama,The Pokémon's moves are unimpeded by the Ability of the target.,Sus movimientos no se ven afectados por la habilidad del objetivo.
Unaware,Ignorante,"When attacking, the Pokémon ignores the target's stat changes.",Pasa por alto los cambios de características de un pokemon al atacarlo o recibir daño.
Unburden,Liviano,Boosts the Speed by 50 stat if the Pokémon's held item is used or lost.,Aumenta su velocidad en 50 si usa o pierde el objeto que lleva.
Unnerve,Nerviosismo,Unnerves opposing Pokémon and makes them unable to eat Berries.,Pone nervioso al rival y le impide usar bayas.
Victory Star,Tinovictoria,Boosts the accuracy of the Pokémon and its allies by 25.,Aumenta su presición y la de los aliados en 25.
Vital Spirit,Espíritu vital,"The Pokémon is full of vitality, and that prevents it from falling asleep.",Su determinación le impide quedarse dormido.
Water Absorb,Absorbe agua,"If hit by a Water-type move, the Pokémon has its HP the amount of damage done instead of taking it.","Si lo alcanza un movimiento de tipo agua, recupera HP igual a la cantidad de daño en vez de sufrirlo."
Weak Armor,Armadura frágil,"The Pokémon's Defense stat is lowered when it takes damage from physical moves by -25, but its Speed stat is boosted in 50.","Al recibir el daño de un ataque físico, se reduce su defensa en -25, pero aumenta su velocidad en 50."
White Smoke,Humo blanco,"The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats.",El humo blanco que lo protege evita que otros pokemon le reduzcan las características.
Wonder Skin,Piel milagro,Reduces by half the probability of receiving status moves.,Reduce a la mitad la probabilidad de recibir movimientos de estado.
Zen Mode,Modo daruma,Changes the Pokémon's shape when its HP drops to half or less.,Cambia de forma si sus PS se ven reducidos a la mitad o menos.
