Name,Nombre,Type,Theme,Cat,PP,Att,Appeal,Acc,Effect,Efecto
Ancient power,Poder pasado,Rock,Tough,Special,35,1d12,1,0,Throw 1d10 and if the result is equal to 1 it will raise all user's stats at once.,Lanza 1d10 y si el resultado es igual a 1 aumentará las estadísticas de todos los usuarios a la vez.
Aqua Jet,Acua jet,Water,Cool,Physical,20,2d4,3,0,"User may use this move before opponent's moves, counting as an action for next user's turn.","El usuario puede usar este movimiento antes de los movimientos del oponente, contando como una acción para el turno del siguiente usuario."
Aqua Ring,Acua aro,Water,Beautiful,Other,20,--,1,0,Restores 1d4 HP each turn.,Restaura 1d4 hp cada turno.
Aqua Tail,Acua cola,Water,Beautiful,Physical,30,2d8,4,-10,,
Arm Thrust,Empujón,Fight,Tough,Physical,20,1d2,1,0,Attemps to hit 1d4+1 times in one turn.,Intenta acertar 1d4+1 veces en un turno.
Aromatherapy,Aromaterapia,Grass,Clever,Other,35,--,1,0,Cures all status problems in your party.,Cura todos los problemas de estado en tu grupo.
Assist,Ayuda,Normal,Cute,Other,20,--,1,0,User performs a move known by its allies at random.,El usuario realiza un movimiento conocido por sus aliados al azar.
Assurance,Buena baza,Dark,Clever,Physical,30,1d10,1,0,Power doubles if opponent already took damage in the same turn.,El poder se duplica si el oponente ya recibió daño en el mismo turno.
Astonish,Impresionar,Ghost,Cute,Physical,25,1d6,2,0,Throw 1d10 and if the result is equal or less than 3 it will cause flinching.,Lanza 1d10 y si el resultado es igual o menor que 3 provocará un estremecimiento.
Attack Order,Al ataque,Bug,Clever,Physical,25,2d8,3,0,Critical hit with 25 more than defense or with 80 or more in the 1d100 attack roll.,Golpe crítico con 25 más que defensa o con 80 o más en la tirada de ataque 1d100.
Attract,Atracción,Normal,Cute,Other,25,--,2,0,"If opponent is the opposite gender, it has a reduces -25 to the 1d100 result to attack.","Si el oponente es del sexo opuesto, tiene una reducción de -25 al resultado de 1d100 para atacar."
Aura Sphere,Esfera aural,Fight,Beautiful,Special,20,2d8,2,0,Ignores defenses.,Ignora las defensas.
Aurora Beam,Rayo aurora,Ice,Beautiful,Special,20,2d6,2,0,Throw 1d10 and if the result is equal to 1 it will lower opponent's attack.,Lanza 1d10 y si el resultado es igual a 1 bajará el ataque del oponente.
Autotomize,Aligerar,Steel,Beautiful,Other,25,--,1,0,Reduces weight and adds +33 to speed.,Reduce el peso y añade +33 a la velocidad.
Avalanche,Alud,Ice,Beautiful,Physical,30,1d12,3,0,Power doubles if user took damage first.,El poder se duplica si el usuario recibió daño primero.
Barrage,Bombardeo,Normal,Cute,Physical,20,1d2,1,-15,Attemps to hit 1d4+1 times in one turn.,Intenta acertar 1d4+1 veces en un turno.
Barrier,Barrera,Psychc,Cool,Other,10,--,1,0,Adds +33 to user's defense.,Agrega +33 a la defensa del usuario.
Baton Pass,Relevo,Normal,Cute,Other,1,--,1,0,User switches out and gives stat changes to the incoming pokémon.,El usuario cambia y da cambios de estadísticas al Pokémon entrante.
Beat Up,Paliza,Dark,Clever,Physical,30,--,1,0,Make an attack for each member of user's party. The damage of each attack is equal to the matt of each pokémon in the user's party.,Realiza un ataque para cada miembro del grupo del usuario. El daño de cada ataque es igual al matt de cada pokémon en el grupo del usuario.
Belly Drum,Tambor,Normal,Cute,Other,30,--,7,0,"User loses 50% of its maximum HP, but attack gets a +150.","El usuario pierde el 50% de su HP máximo, pero el ataque obtiene un +150."
Bestow,Ofrenda,Normal,Cute,Other,25,--,1,0,Gives the user's held item to the target.,Le da el objeto retenido por el usuario al objetivo.
Bide,Venganza,Normal,Tough,Physical,30,--,3,0,User takes damage for two turns then strikes back double the damage recieved.,El usuario recibe daño durante dos turnos y luego contraataca el doble del daño recibido.
Bind,Atadura,Normal,Tough,Physical,20,1d2,3,-15,"Traps opponent, damaging them for 3+1d2 turns.",Atrapa al oponente y lo daña durante 3+1d2 turnos.
Bite,Mordisco,Dark,Tough,Physical,15,1d12,2,0,Throw 1d10 and if the result is equal or less than 3 it will cause flinching.,Lanza 1d10 y si el resultado es igual o menor que 3 provocará un estremecimiento.
Blast Burn,Anillo ígneo,Fire,Beautiful,Special,35,3d10,4,-10,User must rest next round.,El usuario debe descansar en la siguiente ronda.
Blaze Kick,Patada ígnea,Fire,Cool,Physical,30,2d8,3,-10,Critical hit with 25 more than defense or with 80 or more in the 1d100 attack roll. 1d10 and if the result is equal to 1 it will burn opponent.,Golpe crítico con 25 más que defensa o con 80 o más en la tirada de ataque 1d100. 1d10 y si el resultado es igual a 1 quemará al oponente.
Blizzard,Ventisca,Ice,Beautiful,Special,35,2d12,1,-30,Throw 1d10 and if the result is equal to 1 it will freeze opponent. Hits all opposing pokémon in range.,Lanza 1d10 y si el resultado es igual a 1 congelará al oponente. Golpea a todos los Pokémon enemigos dentro de su alcance.
Block,Bloqueo,Normal,Cute,Other,35,--,2,0,Opponent cannot flee or switch.,El oponente no puede huir ni cambiar.
Blue Flare,Llama azul,Fire,Beautiful,Special,35,3d8,3,-15,Throw 1d10 and if the result is equal to 1 it will burn opponent.,Lanza 1d10 y si el resultado es igual a 1 quemará al oponente.
Body Slam,Golpe cuerpo,Normal,Tough,Physical,25,2d8,1,0,Throw 1d10 and if the result is equal or less than 3 it will paralyze opponent.,Lanza 1d10 y si el resultado es igual o menor que 3 paralizará al oponente.
Bolt Strike,Ataque fulgor,Electr,Beautiful,Physical,35,3d8,3,-15,Throw 1d10 and if the result is equal or less than 3 it will paralyze opponent.,Lanza 1d10 y si el resultado es igual o menor que 3 paralizará al oponente.
Bone Club,Hueso palo,Ground,Tough,Physical,20,2d6,3,-15,Throw 1d10 and if the result is equal or less than 3 it will cause flinching.,Lanza 1d10 y si el resultado es igual o menor que 3 provocará un estremecimiento.
Bone Rush,Ataque óseo,Ground,Tough,Physical,30,1d4,1,-10,Attemps to hit 1d4+1 times in one turn.,Intenta acertar 1d4+1 veces en un turno.
Bonemerang,Huesomerang,Ground,Tough,Physical,30,1d10,2,-10,Attemps to hit twice.,Intenta golpear dos veces.
Bounce,Bote,Flying,Cute,Physical,35,2d8,1,-15,"Springs up on first round, attacks on second. Throw 1d10 and if the result is equal or less than 3 it will paralyze opponent.","Salta en el primer asalto, ataca en el segundo. Lanza 1d10 y si el resultado es igual o menor que 3 paralizará al oponente."
Brave Bird,Pájaro osado,Flying,Cool,Physical,25,2d12,7,0,User receives 2d4 damage.,El usuario recibe 2d4 de daño.
Brick Break,Demolición,Fight,Cool,Physical,25,3d4,4,0,Breaks through reflect and light screen barriers.,Rompe las barreras de las pantallas de luz y reflejos.
Brine,Salmuera,Water,Tough,Special,30,2d6,3,0,Power doubles if opponent's HP is less than 50%.,El poder se duplica si el HP del oponente es inferior al 50%.
Bubble,Burbuja,Water,Cute,Special,10,1d4,4,0,Throw 1d10 and if the result is equal to 1 it will lower opponent's speed.,Lanza 1d10 y si el resultado es igual a 1 bajará la velocidad del oponente.
Bubble beam,Rayo burbuja,Water,Beautiful,Special,20,2d6,2,0,Throw 1d10 and if the result is equal to 1 it will lower opponent's speed.,Lanza 1d10 y si el resultado es igual a 1 bajará la velocidad del oponente.
Bug Bite,Picadura,Bug,Cute,Physical,20,1d12,3,0,Receives the effect from the opponent's held berry.,Recibe el efecto de la baya que tiene el oponente.
Bug Buzz,Zumbido,Bug,Beautiful,Special,30,2d8,1,0,Throw 1d10 and if the result is equal to 1 it will lower opponent's special defense.,Lanza 1d10 y si el resultado es igual a 1 bajará la defensa especial del oponente.
Bulk Up,Corpulencia,Fight,Cool,Other,20,--,1,0,Adds +25 to user's attack and defense.,Agrega +25 al ataque y defensa del usuario.
Bulldoze,Terratemblor,Ground,Tough,Physical,20,1d12,2,0,Reduces -25 to opponent's speed.,Reduce -25 a la velocidad del oponente.
Bullet Punch,Puño bala,Steel,Tough,Physical,10,2d4,3,0,"User may use this move before opponent's moves, counting as an action for next user's turn.","El usuario puede usar este movimiento antes de los movimientos del oponente, contando como una acción para el turno del siguiente usuario."
Bullet Seed,Semilladora,Grass,Cool,Physical,10,1d4,1,0,Attemps to hit 1d4+1 times in one turn.,Intenta acertar 1d4+1 veces en un turno.
Calm Mind,Paz mental,Psychc,Clever,Other,20,--,1,0,Adds +25 to user's special attack and special defense.,Agrega +25 al ataque especial y defensa especial del usuario.
Camouflage,Camuflaje,Normal,Clever,Other,20,--,1,0,Changes user's type according to the location.,Cambia el tipo de usuario según la ubicación.
Captivate,Seducción,Normal,Cute,Other,20,--,4,0,Reduces -50 to the opponent's special attack if opposite gender.,Reduce -50 al ataque especial del oponente si es del sexo opuesto.
Charge,Carga,Electr,Clever,Other,20,--,1,0,Adds +25 to user's special defense and next electric move's power increases.,Agrega +25 a la defensa especial del usuario y aumenta el poder del próximo movimiento eléctrico.
Charge Beam,Rayo carga,Electr,Beautiful,Special,30,1d10,1,-10,Throw 1d10 and if the result is equal or less than 3 it will raise user's special attack.,Lanza 1d10 y si el resultado es igual o menor que 3 aumentará el ataque especial del usuario.
Charm,Encanto,Normal,Cute,Other,20,--,2,0,Reduces -50 to the opponent's attack.,Reduce -50 al ataque del oponente.
Chatter,Cháchara,Flying,Cute,Special,20,1d12,3,0,Confuses opponent.,Confunde al oponente.
Chip Away,Guardia baja,Normal,Tough,Physical,20,3d4,2,0,Ignores opponent's stat changes.,Ignora los cambios de estadísticas del oponente.
Circle Throw,Llave giro,Fight,Cool,Physical,30,1d12,3,-10,"In battles, the opponent switches. In the wild, the pokémon runs.","En las batallas, el oponente cambia. En estado salvaje, el pokémon corre."
Clamp,Tenaza,Water,Tough,Physical,25,1d6,3,-15,"Traps opponent, damaging them for 3+1d2 turns.",Atrapa al oponente y lo daña durante 3+1d2 turnos.
Clear Smog,Niebla clara,Poison,Beautiful,Special,25,1d10,2,0,Removes all of the target's stat changes.,Elimina todos los cambios de estadísticas del objetivo.
Close Combat,A bocajarro,Fight,Tough,Physical,35,2d12,6,0,Reduces -25 to user's defense and special defense.,Reduce -25 a la defensa del usuario y a la defensa especial.
Coil,Enrosque,Poison,Tough,Other,20,--,1,0,"Adds +25 to user's attack, defense and accuracy.","Agrega +25 al ataque, defensa y precisión del usuario."
Comet Punch,Puño cometa,Normal,Tough,Physical,25,1d2,1,-15,Attemps to hit 1d4+1 times in one turn.,Intenta acertar 1d4+1 veces en un turno.
Confuse Ray,Rayo confuso,Ghost,Clever,Other,30,--,2,0,Confuses opponent.,Confunde al oponente.
Confusion,Confusión,Psychc,Clever,Special,15,1d10,4,0,Throw 1d10 and if the result is equal or less than 3 it will confuse opponent.,Lanza 1d10 y si el resultado es igual o menor que 3 confundirá al oponente.
Constrict,Restricción,Normal,Tough,Physical,5,1d2,3,0,Throw 1d10 and if the result is equal to 1 it will lower opponent's speed by one stage.,"Lanza 1d10 y si el resultado es igual a 1, reducirá la velocidad del oponente en un nivel."
Conversion,Conversión,Normal,Beautiful,Other,10,--,2,0,Changes user's type to that of its first move.,Cambia el tipo de usuario al de su primer movimiento.
Conversion 2,Conversión 2,Normal,Beautiful,Other,10,--,2,0,User changes type to become resistant to opponent's last move.,El usuario cambia de tipo para volverse resistente al último movimiento del oponente.
Copycat,Copión,Normal,Cute,Other,20,--,1,0,Copies opponent's last move.,Copia el último movimiento del oponente.
Cosmic Power,Masa cósmica,Psychc,Beautiful,Other,20,--,1,0,Adds +25 to user's defense and special defense.,Agrega +25 a la defensa del usuario y defensa especial.
Cotton Guard,Rizo algodón,Grass,Cute,Other,30,--,1,0,Adds +50 to user's defense.,Agrega +50 a la defensa del usuario.
Cotton Spore,Esporagodón,Grass,Beautiful,Other,1,--,2,0,Reduces -50 to the opponent's speed.,Reduce -50 a la velocidad del oponente.
Counter,Contraataque,Fight,Tough,Physical,20,--,2,0,"When hit by a physical attack once until next round, user strikes back with 2x power.","Cuando es golpeado por un ataque físico una vez hasta la siguiente ronda, el usuario contraataca con el doble de poder."
Covet,Antojo,Normal,Cute,Physical,1,1d12,1,0,Opponent's item is stolen by the user.,El usuario roba el artículo del oponente.
Crabhammer,Martillazo,Water,Tough,Physical,30,2d8,3,-10,Critical hit with 25 more than defense or with 80 or more in the 1d100 attack roll.,Golpe crítico con 25 más que defensa o con 80 o más en la tirada de ataque 1d100.
Cross Chop,Tajo cruzado,Fight,Cool,Physical,35,2d10,3,-20,Critical hit with 25 more than defense or with 80 or more in the 1d100 attack roll.,Golpe crítico con 25 más que defensa o con 80 o más en la tirada de ataque 1d100.
Cross Poison,Veneno X,Poison,Cool,Physical,20,3d4,2,0,Critical hit with 25 more than defense or with 80 or more in the 1d100 attack roll. Throw 1d10 and if the result is equal or less than 3 it will poison opponent.,Golpe crítico con 25 más que defensa o con 80 o más en la tirada de ataque 1d100. Lanza 1d10 y si el resultado es igual o menor que 3 envenenará al oponente.
Crunch,Triturar,Dark,Tough,Physical,25,3d4,1,0,Throw 1d10 and if the result is equal or less than 2 it will lower opponent's defense.,Lanza 1d10 y si el resultado es igual o menor a 2 bajará la defensa del oponente.
Crush Claw,Garra brutal,Normal,Cool,Physical,30,3d4,1,-5,Throw 1d10 and if the result is equal or less than 5 it will lower opponent's defense.,Lanza 1d10 y si el resultado es igual o menor a 5 bajará la defensa del oponente.
Crush Grip,Agarrón,Normal,Tough,Physical,35,--,3,0,Double damage when opponent has higher HP.,Daño doble cuando el oponente tiene mayor HP.
Curse,Maldición,Ghost,Tough,Other,30,--,3,0,"Ghosts lose 50% of maximum HP and curse the opponent; non-ghosts raise attack, defense and lower speed.","Los fantasmas pierden el 50% del HP máximo y maldicen al oponente; Los no fantasmas aumentan el ataque, la defensa y reducen la velocidad."
Cut,Corte,Normal,Cool,Physical,10,1d10,4,-5,,
Dark Pulse,Pulso umbrío,Dark,Cool,Special,25,3d4,4,0,Throw 1d10 and if the result is equal or less than 2 it will cause flinching.,Lanza 1d10 y si el resultado es igual o menor que 2 provocará un estremecimiento.
Dark Void,Brecha negra,Dark,Clever,Other,30,--,2,-20,Puts all adjacent opposing pokémon in a range equal to MSpA to sleep.,Pone a dormir a todos los Pokémon oponentes adyacentes en un rango igual a MSpA.
Defend Order,A defender,Bug,Clever,Other,30,--,2,0,Adds +25 to user's defense and special defense.,Agrega +25 a la defensa del usuario y defensa especial.
Defense Curl,Rizo defensa,Normal,Cute,Other,1,--,2,0,Adds +25 to user's defense.,Agrega +25 a la defensa del usuario.
Defog,Despejar,Flying,Cool,Other,25,--,2,0,Reduces -25 to opponent's evasiveness and clears fog.,Reduce -25 la evasión del oponente y elimina la niebla.
Destiny Bond,Mismo destino,Ghost,Clever,Other,35,--,7,0,"If the user faints, the opponent also faints.","Si el usuario se desmaya, el oponente también se desmaya."
Detect,Detección,Fight,Cool,Other,35,--,1,0,"Protects the user for a round, after the first consecutive time, roll 1d2, if 1 the effect goes on. Increase the die size each time until fail.","Protege al usuario durante una ronda, después de la primera vez consecutiva, tira 1d2, si 1 el efecto continúa. Aumente el tamaño del troquel cada vez hasta que falle."
Dig,Excavar,Ground,Tough,Physical,30,3d4,2,0,"Digs underground on first round, attacks on second. Can also escape from caves.","Excava bajo tierra en la primera ronda, ataca en la segunda. También puede escapar de cuevas."
Disable,Anulación,Normal,Clever,Other,20,--,2,0,Opponent can't use its last attack for a 1d6 rounds.,El oponente no puede utilizar su último ataque durante 1d6 asaltos.
Discharge,Chispazo,Electr,Beautiful,Special,25,3d4,2,0,Throw 1d10 and if the result is equal or less than 3 it will paralyze opponent. Hits all pokémon in range.,Lanza 1d10 y si el resultado es igual o menor que 3 paralizará al oponente. Golpea a todos los pokémon dentro del alcance.
Dive,Buceo,Water,Beautiful,Physical,30,3d4,2,0,"Dives underwater on first round, attacks on second round.","Se sumerge bajo el agua en la primera ronda, ataca en la segunda ronda."
Dizzy Punch,Puño mareo,Normal,Cute,Physical,30,3d4,3,0,Throw 1d10 and if the result is equal or less than 2 it will confuse opponent.,Lanza 1d10 y si el resultado es igual o menor que 2 confundirá al oponente.
Doom Desire,Deseo oculto,Steel,Beautiful,Special,35,3d8,3,0,Damage occurs 2 turns later.,El daño ocurre 2 turnos después.
Double Hit,Doble golpe,Normal,Cool,Physical,30,1d6,2,-10,Attemps to hit twice in one turn.,Intenta golpear dos veces en un turno.
Double Kick,Doble patada,Fight,Cool,Physical,10,1d6,2,0,Attemps to hit twice in one turn.,Intenta golpear dos veces en un turno.
Double slap,Doble bofetón,Normal,Cute,Physical,30,1d2,1,-15,Attemps to hit 1d4+1 times in one turn.,Intenta acertar 1d4+1 veces en un turno.
Double Team,Doble equipo,Normal,Cool,Other,25,--,1,0,Adds +25 to user's evasiveness.,Agrega +25 a la evasión del usuario.
Double-edge,Doble filo,Normal,Tough,Physical,25,2d12,6,0,User receives 2d4 damage.,El usuario recibe 2d4 de daño.
Draco Meteor,Cometa draco,Dragon,Beautiful,Special,35,3d8,6,-10,Reduces -50 to the user's special attack.,Reduce -50 al ataque especial del usuario.
Dragon breath,Dragoaliento,Dragon,Cool,Special,20,1d12,2,0,Throw 1d10 and if the result is equal or less than 3 it will paralyze opponent.,Lanza 1d10 y si el resultado es igual o menor que 3 paralizará al oponente.
Dragon Claw,Garra dragón,Dragon,Cool,Physical,25,3d4,4,0,,
Dragon Dance,Danza dragón,Dragon,Cool,Other,20,--,1,0,Adds +25 to user's attack and speed.,Agrega +25 al ataque y velocidad del usuario.
Dragon Pulse,Pulso dragón,Dragon,Beautiful,Special,30,2d8,4,0,,
Dragon Rage,Furia dragón,Dragon,Cool,Special,30,--,3,0,Always inflicts 40 HP.,Siempre inflige 40 hp.
Dragon Rush,Carga dragón,Dragon,Tough,Physical,30,2d10,3,-25,Throw 1d10 and if the result is equal or less than 2 it will cause flinching.,Lanza 1d10 y si el resultado es igual o menor que 2 provocará un estremecimiento.
Dragon Tail,Cola dragón,Dragon,Tough,Physical,30,1d12,3,-10,"In battles, the opponent switches. In the wild, the pokémon runs.","En las batallas, el oponente cambia. En estado salvaje, el pokémon corre."
Drain Punch,Puño drenaje,Fight,Tough,Physical,30,3d4,1,0,User recovers half the HP inflicted on opponent.,El usuario recupera la mitad de los hp infligidos al oponente.
Dream Eater,Comesueños,Psychc,Clever,Special,25,2d10,2,0,User recovers half the HP inflicted on a sleeping opponent.,El usuario recupera la mitad de los hp infligidos a un oponente dormido.
Drill Peck,Pico taladro,Flying,Cool,Physical,20,3d4,3,0,,
Drill Run,Taladradora,Ground,Tough,Physical,30,3d4,3,-5,Critical hit with 25 more than defense or with 80 or more in the 1d100 attack roll.,Golpe crítico con 25 más que defensa o con 80 o más en la tirada de ataque 1d100.
Dual Chop,Golpe bis,Dragon,Tough,Physical,25,2d4,2,-10,Attemps to hit twice in one turn.,Intenta golpear dos veces en un turno.
Dynamic punch,Puño dinámico,Fight,Cool,Physical,35,2d10,2,-50,Confuses opponent.,Confunde al oponente.
Earth Power,Tierra viva,Ground,Beautiful,Special,30,2d8,4,0,Throw 1d10 and if the result is equal to 1 it will lower opponent's special defense.,Lanza 1d10 y si el resultado es igual a 1 bajará la defensa especial del oponente.
Earthquake,Terremoto,Ground,Tough,Physical,30,2d10,2,0,Power is doubled if opponent is underground from using Dig. Hits all pokémon in range.,El poder se duplica si el oponente está bajo tierra debido al uso de Excavación. Golpea a todos los pokémon dentro del alcance.
Echoed Voice,Eco voz,Normal,Beautiful,Special,25,2d4,3,0,Add 1d4 for each consecutive time hit after the first one.,Añade 1d4 por cada golpe consecutivo después del primero.
Egg Bomb,Bomba huevo,Normal,Cute,Physical,30,2d10,4,-25,,
Electro Ball,Bola voltio,Electr,Cool,Special,30,--,3,0,Add mspe to the attack's damage.,Añade mspe al daño del ataque.
Electroweb,Electrotela,Electr,Beautiful,Special,25,1d10,2,-5,Reduces -25 to opponent's speed.,Reduce -25 a la velocidad del oponente.
Embargo,Embargo,Dark,Clever,Other,25,--,3,0,Opponent cannot use items on target pokémon.,El oponente no puede usar elementos en el Pokémon objetivo.
Ember,Ascuas,Fire,Cute,Special,15,2d4,4,0,Throw 1d10 and if the result is equal to 1 it will burn opponent.,Lanza 1d10 y si el resultado es igual a 1 quemará al oponente.
Encore,Otra vez,Normal,Cute,Other,35,--,2,0,Forces opponent to keep using its last move for 3 rounds.,Obliga al oponente a seguir usando su último movimiento durante 3 rondas.
Endeavor,Esfuerzo,Normal,Tough,Physical,35,--,2,0,Reduces opponent's HP to same as user's.,Reduce el HP del oponente al mismo que el del usuario.
Endure,Aguante,Normal,Tough,Other,30,--,3,0,"Always left with at least 1 HP, after the first consecutive time, roll 1d2, if 1 the effect goes on. Increase the die size each time until fail..","Siempre queda con al menos 1 hp, después de la primera vez consecutiva, tira 1d2, si 1 el efecto continúa. Aumente el tamaño del troquel cada vez hasta que falle."
Energy Ball,Energibola,Grass,Beautiful,Special,30,3d4,4,0,Throw 1d10 and if the result is equal to 1 it will lower opponent's special defense.,Lanza 1d10 y si el resultado es igual a 1 bajará la defensa especial del oponente.
Entrainment,Danza amiga,Normal,Cute,Other,25,--,2,0,Makes target's ability same as user's.,Hace que la habilidad del objetivo sea la misma que la del usuario.
Eruption,Estallido,Fire,Beautiful,Special,35,3d10,6,0,Double the damage when the user's HP is higher than all of the opponents. Hits all opposing pokémon in range.,Duplica el daño cuando el HP del usuario es mayor que el de todos los oponentes. Golpea a todos los Pokémon enemigos dentro de su alcance.
Explosion,Explosión,Normal,Beautiful,Physical,35,5d10,7,0,User faints. Hits all pokémon in range.,El usuario se desmaya. Golpea a todos los pokémon dentro del alcance.
Extrasensory,Paranormal,Psychc,Cool,Special,10,3d4,2,0,Throw 1d10 and if the result is equal or less than 2 it will cause flinching.,Lanza 1d10 y si el resultado es igual o menor que 2 provocará un estremecimiento.
Extreme speed,Velocidad extrema,Normal,Cool,Physical,35,3d4,3,0,"User may use this move before opponent's moves, counting as an action for next user's turn.","El usuario puede usar este movimiento antes de los movimientos del oponente, contando como una acción para el turno del siguiente usuario."
Facade,Imagen,Normal,Cute,Physical,20,3d4,2,0,"Power doubles if user is burned, poisoned, or paralyzed.","El poder se duplica si el usuario se quema, envenena o queda paralizado."
Fake Out,Sorpresa,Normal,Cute,Physical,30,2d4,2,0,"User may use this move before opponent's moves, counting as an action for next user's turn. Foe flinches. Only usable on first round.","El usuario puede usar este movimiento antes de los movimientos del oponente, contando como una acción para el turno del siguiente usuario. El enemigo se estremece. Solo utilizable en la primera ronda."
Fake Tears,Llanto falso,Dark,Cute,Other,20,--,4,0,Reduces -50 to the opponent's special defense.,Reduce -50 a la defensa especial del oponente.
False Swipe,Falso tortazo,Normal,Cool,Physical,1,2d4,4,0,Always leaves opponent with at least 1 HP.,Siempre deja al oponente con al menos 1 hp.
Feather dance,Danza pluma,Flying,Beautiful,Other,25,--,2,0,Reduces -50 to the opponent's attack.,Reduce -50 al ataque del oponente.
Feint,Amago,Normal,Clever,Physical,30,1d6,3,0,Only hits if opponent uses protect or detect in the same round.,Solo golpea si el oponente usa protección o detección en la misma ronda.
Feint Attack,Finta,Dark,Clever,Physical,20,1d12,3,0,Ignores defenses.,Ignora las defensas.
Fiery Dance,Danza llama,Fire,Beautiful,Special,30,3d4,1,0,Throw 1d10 and if the result is equal or less than 5 it will raise user's special attack.,Lanza 1d10 y si el resultado es igual o menor que 5 aumentará el ataque especial del usuario.
Final Gambit,Sacrificio,Fight,Tough,Special,35,--,7,0,Inflicts damage equal to the user's remaining HP. User faints.,Inflige daño igual a los hp restantes del usuario. El usuario se desmaya.
Fire Blast,Llamarada,Fire,Beautiful,Special,35,2d12,1,-15,Throw 1d10 and if the result is equal to 1 it will burn opponent.,Lanza 1d10 y si el resultado es igual a 1 quemará al oponente.
Fire Fang,Colmillo ígneo,Fire,Cool,Physical,25,2d6,4,-5,"Throw 1d10 and if the result is equal to 1 it will burn opponent, and other throw 1d10 and if the result is equal or less than 3 it will cause flinching","Lanza 1d10 y si el resultado es igual a 1 quemará al oponente, y otros lanzan 1d10 y si el resultado es igual o menor a 3 provocará que se estremezca."
Fire Pledge,Voto fuego,Fire,Beautiful,Special,30,1d10,2,0,if combined with grass pledge or water pledge does +1d10 and uses the best effectiveness of the used attacks.,"si se combina con promesa de hierba o promesa de agua, genera +1d10 y utiliza la mejor efectividad de los ataques utilizados."
Fire Punch,Puño fuego,Fire,Tough,Physical,25,3d4,4,0,Throw 1d10 and if the result is equal to 1 it will burn opponent.,Lanza 1d10 y si el resultado es igual a 1 quemará al oponente.
Fire Spin,Giro fuego,Fire,Beautiful,Special,25,1d6,3,-15,"Traps opponent, damaging them for 3+1d2 turns.",Atrapa al oponente y lo daña durante 3+1d2 turnos.
Fissure,Fisura,Ground,Tough,Physical,35,--,2,-70,"One-hit-ko, if it hits.","One-hit-ko, si acierta."
Flail,Azote,Normal,Cute,Physical,25,--,1,0,"The lower the user's HP, the higher the power.","Cuanto menor sea el hp del usuario, mayor será la potencia."
Flame Burst,Pirotecnia,Fire,Beautiful,Special,25,3d4,3,0,May also injure nearby pokémon.,También puede herir a los pokémon cercanos.
Flame Charge,Nitrocarga,Fire,Cool,Physical,20,1d10,1,0,Adds +25 to user's speed.,Agrega +25 a la velocidad del usuario.
Flame Wheel,Rueda fuego,Fire,Beautiful,Physical,15,1d12,3,0,Throw 1d10 and if the result is equal to 1 it will burn opponent.,Lanza 1d10 y si el resultado es igual a 1 quemará al oponente.
